Date,Track,ExpectedFormFile
2026-05-20,Ladbrokes Q Lakeside,LADBR200526form.pdf
2026-05-20,Taree,TAREG200526form.pdf
2026-05-23,Taree,TAREG230526form.pdf
2026-05-26,Mandurah,MANDG260526form.pdf
2026-05-27,MURRAY BDGE STRAIGHT,MURRA270526form.pdf
2026-05-27,Taree,TAREG270526form.pdf
2026-05-28,Gardens,GARDG280526form.pdf
2026-05-28,Hobart,TASTG280526form.pdf
2026-05-28,Mandurah,MANDG280526form.pdf
2026-05-28,Warrnambool,WNBLG280526form.pdf
2026-05-29,Ladbrokes Q Lakeside,LADBR290526form.pdf
2026-05-29,Murray Bridge,MBRGG290526form.pdf
2026-05-30,Ballarat,BRATG300526form.pdf
2026-05-31,Healesville,HEALG310526form.pdf
2026-05-31,Mount Gambier,MTGG310526form.pdf
2026-06-02,Maitland,MAITG020626form.pdf
2026-06-02,Northam,NTHMG020626form.pdf
2026-06-02,Nowra,NOWRG020626form.pdf
2026-06-02,Q Straight,QSTRG020626form.pdf
2026-06-02,Sandown,SANDG020626form.pdf
2026-06-02,Shepparton,SHEPG020626form.pdf
2026-06-02,Traralgon,TRARG020626form.pdf
2026-06-02,Warrnambool,WNBLG020626form.pdf
2026-06-03,Taree,TAREG030626form.pdf
2026-06-05,Murray Bridge,MBRGG050626form.pdf
2026-06-06,Taree,TAREG060626form.pdf
2026-06-10,Taree,TAREG100626form.pdf
2026-06-11,Shepparton,SHEPG110626form.pdf
2026-06-12,Murray Bridge,MBRGG120626form.pdf
2026-06-12,Townsville,TOWNG120626form.pdf
2026-06-13,Taree,TAREG130626form.pdf
2026-06-15,Launceston,MOWBG150626form.pdf
2026-06-17,Taree,TAREG170626form.pdf
2026-06-19,Murray Bridge,MBRGG190626form.pdf
2026-06-20,Taree,TAREG200626form.pdf
2026-06-22,Launceston,MOWBG220626form.pdf
2026-06-24,Taree,TAREG240626form.pdf
2026-06-25,Q Straight,QSTRG250626form.pdf
2026-06-26,Murray Bridge,MBRGG260626form.pdf
2026-06-27,Taree,TAREG270626form.pdf
2026-06-29,Murray Bridge,MBRGG290626form.pdf
2026-07-01,Taree,TAREG010726form.pdf
2026-07-02,Angle Park,ANGLG020726form.pdf
2026-07-02,Casino,CSNOG020726form.pdf
2026-07-02,Hobart,TASTG020726form.pdf
2026-07-03,Murray Bridge,MBRGG030726form.pdf
2026-07-04,Taree,TAREG040726form.pdf
2026-07-08,Taree,TAREG080726form.pdf
2026-07-09,Angle Park,ANGLG090726form.pdf
2026-07-09,Hobart,TASTG090726form.pdf
2026-07-10,Murray Bridge,MBRGG100726form.pdf
2026-07-11,Taree,TAREG110726form.pdf
2026-07-12,Temora,TEMOG120726form.pdf
2026-07-15,Taree,TAREG150726form.pdf
2026-07-17,Murray Bridge,MBRGG170726form.pdf
2026-07-18,Taree,TAREG180726form.pdf
2026-07-19,Temora,TEMOG190726form.pdf
2026-07-22,Taree,TAREG220726form.pdf
2026-07-23,Q Parklands,QPRKG230726form.pdf
2026-07-24,Murray Bridge,MBRGG240726form.pdf
2026-07-25,Taree,TAREG250726form.pdf
2026-07-26,Temora,TEMOG260726form.pdf
2026-07-29,Taree,TAREG290726form.pdf
2026-07-31,Murray Bridge,MBRGG310726form.pdf
2026-08-01,Taree,TAREG010826form.pdf
2026-08-02,Temora,TEMOG020826form.pdf
2026-08-05,Taree,TAREG050826form.pdf
2026-08-06,Q Parklands,QPRKG060826form.pdf
2026-08-07,Healesville,HEALG070826form.pdf
2026-08-07,Murray Bridge,MBRGG070826form.pdf
2026-08-08,Taree,TAREG080826form.pdf
2026-08-09,Temora,TEMOG090826form.pdf
2026-08-10,Warrnambool,WNBLG100826form.pdf
2026-08-20,Ballarat,BRATG200826form.pdf
2026-08-20,Gawler,GAWLG200826form.pdf
2026-08-20,Healesville,HEALG200826form.pdf
2026-08-20,Launceston,MOWBG200826form.pdf
2026-08-20,Maitland,MAITG200826form.pdf
2026-08-20,Northam,NTHMG200826form.pdf
2026-08-20,Nowra,NOWRG200826form.pdf
2026-08-25,Temora,TEMOG250826form.pdf
2026-08-26,Taree,TAREG260826form.pdf
2026-08-27,Hobart,TASTG270826form.pdf
